127.0.0.1 - - [10/May/2024:23:34:36 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:38 +0530] "GET /UserDemo/Login.jsp HTTP/1.1" 200 6424
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:38 +0530] "GET /UserDemo/image/facebook.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:38 +0530] "GET /UserDemo/image/bg_n.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:38 +0530] "GET /UserDemo/image/whatsapp.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:38 +0530] "GET /UserDemo/image/social.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:38 +0530] "GET /UserDemo/image/logo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "POST /UserDemo/login HTTP/1.1" 200 17047
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/user2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/user1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/message2.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/set.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/browser.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/exit.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/woman.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/instagram.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:45 +0530] "GET /UserDemo/image/twitter.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:48 +0530] "GET /UserDemo/UserBooking.jsp HTTP/1.1" 200 14985
0:0:0:0:0:0:0:1 - - [10/May/2024:23:34:48 +0530] "GET /UserDemo/image/userbg1.png HTTP/1.1" 304 -
